! 12C range in H2O
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
0.250000	6.4365    	0.250000	5.21774   	0.250000	5.23325   	0.250000	5.23325   	0.250000	5.23323   	0.250000	0.0331728 	0.250000	0.0265189 	0.250000	0.236125  	0.250000	0.342862  	0.250000	0.221527  	
0.300000	7.3147    	0.300000	5.92766   	0.300000	5.93165   	0.300000	5.93165   	0.300000	5.93163   	0.300000	0.035731  	0.300000	0.0280452 	0.300000	0.249995  	0.300000	0.361295  	0.300000	0.23451   	
0.350000	8.18869   	0.350000	6.63417   	0.350000	6.63705   	0.350000	6.63705   	0.350000	6.63703   	0.350000	0.0383983 	0.350000	0.0296831 	0.350000	0.263035  	0.350000	0.378406  	0.350000	0.246865  	
0.400000	9.0662    	0.400000	7.34353   	0.400000	7.35468   	0.400000	7.35468   	0.400000	7.35466   	0.400000	0.0412027 	0.400000	0.0314459 	0.400000	0.275566  	0.400000	0.39466   	0.400000	0.258908  	
0.450000	9.95341   	0.450000	8.06073   	0.450000	8.08316   	0.450000	8.08316   	0.450000	8.08314   	0.450000	0.044106  	0.450000	0.0333055 	0.450000	0.28759   	0.450000	0.410079  	0.450000	0.270625  	
0.500000	10.851    	0.500000	8.78631   	0.500000	8.8227    	0.500000	8.8227    	0.500000	8.82268   	0.500000	0.0470963 	0.500000	0.0353033 	0.500000	0.29939   	0.500000	0.425085  	0.500000	0.282262  	
0.600000	12.6692   	0.600000	10.2561   	0.600000	10.3417   	0.600000	10.3417   	0.600000	10.3417   	0.600000	0.0533764 	0.600000	0.0398403 	0.600000	0.322475  	0.600000	0.454099  	0.600000	0.305126  	
0.700000	14.528    	0.700000	11.7587   	0.700000	11.9206   	0.700000	11.9206   	0.700000	11.9206   	0.700000	0.0600885 	0.700000	0.0449669 	0.700000	0.34514   	0.700000	0.482198  	0.700000	0.327957  	
0.800000	16.4338   	0.800000	13.2993   	0.800000	13.5646   	0.800000	13.5646   	0.800000	13.5646   	0.800000	0.0672541 	0.800000	0.0505802 	0.800000	0.367723  	0.800000	0.509853  	0.800000	0.351016  	
0.900000	18.3946   	0.900000	14.8844   	0.900000	15.2732   	0.900000	15.2732   	0.900000	15.2732   	0.900000	0.0748373 	0.900000	0.0565798 	0.900000	0.390427  	0.900000	0.537431  	0.900000	0.374208  	
1.000000	20.4121   	1.000000	16.5153   	1.000000	17.0456   	1.000000	17.0456   	1.000000	17.0456   	1.000000	0.0828089 	1.000000	0.0628972 	1.000000	0.413201  	1.000000	0.564847  	1.000000	0.39773   	
1.250000	25.7375   	1.250000	20.8202   	1.250000	21.7518   	1.250000	21.7518   	1.250000	21.7518   	1.250000	0.104329  	1.250000	0.0798285 	1.250000	0.469954  	1.250000	0.632104  	1.250000	0.457733  	
1.500000	31.5551   	1.500000	25.523    	1.500000	26.865    	1.500000	26.865    	1.500000	26.8649   	1.500000	0.128247  	1.500000	0.0983206 	1.500000	0.52732   	1.500000	0.698887  	1.500000	0.50997   	
1.750000	37.8964   	1.750000	30.6492   	1.750000	32.3797   	1.750000	32.3797   	1.750000	32.3796   	1.750000	0.154448  	1.750000	0.118184  	1.750000	0.586758  	1.750000	0.767458  	1.750000	0.547744  	
2.000000	44.7803   	2.000000	36.214    	2.000000	38.2864   	2.000000	38.2864   	2.000000	38.2864   	2.000000	0.182811  	2.000000	0.139282  	2.000000	0.646141  	2.000000	0.835376  	2.000000	0.588406  	
2.250000	52.238    	2.250000	42.2426   	2.250000	44.5805   	2.250000	44.5805   	2.250000	44.5805   	2.250000	0.2133    	2.250000	0.161562  	2.250000	0.691072  	2.250000	0.885715  	2.250000	0.631878  	
2.500000	60.231    	2.500000	48.7196   	2.500000	51.2596   	2.500000	51.2596   	2.500000	51.2595   	2.500000	0.245911  	2.500000	0.185002  	2.500000	0.738939  	2.500000	0.939449  	2.500000	0.678108  	
3.000000	74.3847   	3.000000	62.9733   	3.000000	65.7667   	3.000000	65.7667   	3.000000	65.7666   	3.000000	0.317547  	3.000000	0.23534   	3.000000	0.843244  	3.000000	1.05649   	3.000000	0.778724  	
3.500000	90.1685   	3.500000	78.9142   	3.500000	81.7994   	3.500000	81.7994   	3.500000	81.7993   	3.500000	0.397823  	3.500000	0.29031   	3.500000	0.958658  	3.500000	1.18557   	3.500000	0.89002   	
4.000000	107.567   	4.000000	96.5101   	4.000000	99.3506   	4.000000	99.3506   	4.000000	99.3505   	4.000000	0.48682   	4.000000	0.349925  	4.000000	1.08495   	4.000000	1.32612   	4.000000	1.01186   	
4.500000	126.563   	4.500000	115.731   	4.500000	118.413   	4.500000	118.413   	4.500000	118.413   	4.500000	0.584589  	4.500000	0.414144  	4.500000	1.22195   	4.500000	1.47774   	4.500000	1.14415   	
5.000000	147.143   	5.000000	136.558   	5.000000	138.978   	5.000000	138.978   	5.000000	138.978   	5.000000	0.691157  	5.000000	0.482925  	5.000000	1.36953   	5.000000	1.64013   	5.000000	1.28679   	
5.500000	169.289   	5.500000	158.973   	5.500000	161.038   	5.500000	161.038   	5.500000	161.037   	5.500000	0.806532  	5.500000	0.55624   	5.500000	1.52753   	5.500000	1.81301   	5.500000	1.43965   	
6.000000	192.989   	6.000000	182.965   	6.000000	184.584   	6.000000	184.584   	6.000000	184.584   	6.000000	0.930712  	6.000000	0.634053  	6.000000	1.6959    	6.000000	1.99622   	6.000000	1.60273   	
6.500000	218.227   	6.500000	208.524   	6.500000	209.608   	6.500000	209.608   	6.500000	209.608   	6.500000	1.06369   	6.500000	0.716325  	6.500000	1.87453   	6.500000	2.18954   	6.500000	1.77591   	
7.000000	244.99    	7.000000	235.641   	7.000000	236.103   	7.000000	236.103   	7.000000	236.103   	7.000000	1.20545   	7.000000	0.803019  	7.000000	2.06336   	7.000000	2.39287   	7.000000	1.95916   	
7.500000	273.265   	7.500000	264.306   	7.500000	264.061   	7.500000	264.061   	7.500000	264.061   	7.500000	1.35598   	7.500000	0.894098  	7.500000	2.26232   	7.500000	2.60605   	7.500000	2.15242   	
8.000000	303.041   	8.000000	294.511   	8.000000	293.473   	8.000000	293.473   	8.000000	293.473   	8.000000	1.51527   	8.000000	0.989528  	8.000000	2.47136   	8.000000	2.82898   	8.000000	2.35566   	
8.500000	334.305   	8.500000	326.25    	8.500000	324.334   	8.500000	324.334   	8.500000	324.333   	8.500000	1.68329   	8.500000	1.08928   	8.500000	2.69043   	8.500000	3.06155   	8.500000	2.56883   	
9.000000	367.045   	9.000000	359.516   	9.000000	356.635   	9.000000	356.635   	9.000000	356.635   	9.000000	1.86003   	9.000000	1.19332   	9.000000	2.91947   	9.000000	3.30368   	9.000000	2.79188   	
9.500000	401.252   	9.500000	394.3     	9.500000	390.371   	9.500000	390.371   	9.500000	390.37    	9.500000	2.04547   	9.500000	1.30161   	9.500000	3.15846   	9.500000	3.55528   	9.500000	3.02481   	
10.000000	436.913   	10.000000	430.586   	10.000000	425.534   	10.000000	425.534   	10.000000	425.534   	10.000000	2.2396    	10.000000	1.41414   	10.000000	3.40736   	10.000000	3.81628   	10.000000	3.26756   	
11.000000	512.562   	11.000000	506.778   	11.000000	500.155   	11.000000	500.129   	11.000000	500.145   	11.000000	2.65423   	11.000000	1.65202   	11.000000	3.9349    	11.000000	4.36638   	11.000000	3.78263   	
12.000000	593.913   	12.000000	588.467   	12.000000	580.488   	12.000000	580.385   	12.000000	580.452   	12.000000	3.10419   	12.000000	1.90702   	12.000000	4.50213   	12.000000	4.95375   	12.000000	4.33718   	
13.000000	680.894   	13.000000	675.608   	13.000000	666.484   	13.000000	666.261   	13.000000	666.413   	13.000000	3.58932   	13.000000	2.17884   	13.000000	5.10886   	13.000000	5.57797   	13.000000	4.93106   	
14.000000	773.435   	14.000000	768.157   	14.000000	758.097   	14.000000	757.712   	14.000000	757.985   	14.000000	4.10938   	14.000000	2.46717   	14.000000	5.75487   	14.000000	6.23863   	14.000000	5.56408   	
15.000000	871.473   	15.000000	866.07    	15.000000	855.279   	15.000000	854.694   	15.000000	855.123   	15.000000	4.66408   	15.000000	2.77191   	15.000000	6.43991   	15.000000	6.93533   	15.000000	6.23607   	
16.000000	974.945   	16.000000	969.303   	16.000000	957.982   	16.000000	957.161   	16.000000	957.778   	16.000000	5.25311   	16.000000	3.09285   	16.000000	7.16373   	16.000000	7.66763   	16.000000	6.94678   	
17.000000	1083.79   	17.000000	1077.81   	17.000000	1066.15   	17.000000	1065.07   	17.000000	1065.9    	17.000000	5.8761    	17.000000	3.4296    	17.000000	7.92603   	17.000000	8.43512   	17.000000	7.69597   	
18.000000	1197.96   	18.000000	1191.56   	18.000000	1179.74   	18.000000	1178.36   	18.000000	1179.44   	18.000000	6.53267   	18.000000	3.78182   	18.000000	8.7265    	18.000000	9.23737   	18.000000	8.48337   	
19.000000	1317.39   	19.000000	1310.49   	19.000000	1298.69   	19.000000	1296.99   	19.000000	1298.35   	19.000000	7.22237   	19.000000	4.14925   	19.000000	9.56479   	19.000000	10.0739   	19.000000	9.30865   	
20.000000	1442.03   	20.000000	1434.58   	20.000000	1422.95   	20.000000	1420.91   	20.000000	1422.57   	20.000000	7.94477   	20.000000	4.53173   	20.000000	10.4405   	20.000000	10.9443   	20.000000	10.1715   	
21.000000	1571.84   	21.000000	1563.78   	21.000000	1552.46   	21.000000	1550.07   	21.000000	1552.05   	21.000000	8.69937   	21.000000	4.92908   	21.000000	11.3534   	21.000000	11.8481   	21.000000	11.0716   	
22.000000	1706.77   	22.000000	1698.06   	22.000000	1687.17   	22.000000	1684.4    	22.000000	1686.72   	22.000000	9.48566   	22.000000	5.34094   	22.000000	12.3029   	22.000000	12.7848   	22.000000	12.0086   	
23.000000	1846.76   	23.000000	1837.37   	23.000000	1827.02   	23.000000	1823.86   	23.000000	1826.54   	23.000000	10.3031   	23.000000	5.76686   	23.000000	13.2887   	23.000000	13.754    	23.000000	12.982    	
24.000000	1991.79   	24.000000	1981.68   	24.000000	1971.95   	24.000000	1968.39   	24.000000	1971.44   	24.000000	11.1512   	24.000000	6.20651   	24.000000	14.3103   	24.000000	14.7551   	24.000000	13.9916   	
25.000000	2141.79   	25.000000	2130.96   	25.000000	2121.9    	25.000000	2117.93   	25.000000	2121.36   	25.000000	12.0292   	25.000000	6.65962   	25.000000	15.3673   	25.000000	15.7877   	25.000000	15.0368   	
27.000000	2456.59   	27.000000	2444.26   	27.000000	2436.62   	27.000000	2431.81   	27.000000	2436.02   	27.000000	13.8729   	27.000000	7.60466   	27.000000	17.5855   	27.000000	17.9452   	27.000000	17.2324   	
29.000000	2790.84   	29.000000	2777      	29.000000	2770.66   	29.000000	2765      	29.000000	2770      	29.000000	15.8292   	29.000000	8.59877   	29.000000	19.9393   	29.000000	20.2223   	29.000000	19.5652   	
31.000000	3144.25   	31.000000	3128.91   	31.000000	3123.54   	31.000000	3117.07   	31.000000	3122.83   	31.000000	17.8937   	31.000000	9.64041   	31.000000	22.4249   	31.000000	22.6153   	31.000000	22.0316   	
33.000000	3516.53   	33.000000	3499.76   	33.000000	3495.22   	33.000000	3488.04   	33.000000	3494.48   	33.000000	20.069    	33.000000	10.7312   	33.000000	25.0422   	33.000000	25.1235   	33.000000	24.6317   	
35.000000	3907.41   	35.000000	3889.3    	35.000000	3885.52   	35.000000	3877.71   	35.000000	3884.73   	35.000000	22.3544   	35.000000	11.8701   	35.000000	27.7897   	35.000000	27.7455   	35.000000	27.3643   	
38.000000	4528.06   	38.000000	4508.13   	38.000000	4505.32   	38.000000	4496.77   	38.000000	4504.47   	38.000000	25.9855   	38.000000	13.6667   	38.000000	32.1511   	38.000000	31.8874   	38.000000	31.7082   	
41.000000	5189.19   	41.000000	5167.75   	41.000000	5165.65   	41.000000	5156.61   	41.000000	5164.77   	41.000000	29.8554   	41.000000	15.568    	41.000000	36.7955   	41.000000	36.2748   	41.000000	36.3415   	
44.000000	5890.04   	44.000000	5867.44   	44.000000	5865.8    	44.000000	5856.51   	44.000000	5864.91   	44.000000	33.9589   	44.000000	17.5706   	44.000000	41.7176   	44.000000	40.9021   	44.000000	41.2595   	
47.000000	6629.89   	47.000000	6606.53   	47.000000	6605.13   	47.000000	6595.79   	47.000000	6604.21   	47.000000	38.2911   	47.000000	19.6736   	47.000000	46.912    	47.000000	45.7644   	47.000000	46.4577   	
50.000000	7408.06   	50.000000	7384.37   	50.000000	7382.9    	50.000000	7373.79   	50.000000	7382.03   	50.000000	42.8472   	50.000000	21.873    	50.000000	52.3738   	50.000000	50.8566   	50.000000	51.9318   	
55.000000	8788.46   	55.000000	8765.2    	55.000000	8763.14   	55.000000	8754.87   	55.000000	8762.32   	55.000000	50.9258   	55.000000	25.748    	55.000000	62.0583   	55.000000	59.8427   	55.000000	61.6574   	
60.000000	10270.8   	60.000000	10249.2   	60.000000	10246     	60.000000	10239.1   	60.000000	10245.2   	60.000000	59.5931   	60.000000	29.8776   	60.000000	72.4514   	60.000000	69.4356   	60.000000	72.1202   	
65.000000	11852.5   	65.000000	11833.9   	65.000000	11829     	65.000000	11824.1   	65.000000	11828.2   	65.000000	68.8296   	65.000000	34.2499   	65.000000	83.5334   	65.000000	79.6174   	65.000000	83.3032   	
70.000000	13531.2   	70.000000	13516.9   	70.000000	13509.7   	70.000000	13507.3   	70.000000	13508.9   	70.000000	78.6167   	70.000000	38.8609   	70.000000	95.2853   	70.000000	90.3713   	70.000000	95.1903   	
75.000000	15304.6   	75.000000	15295.8   	75.000000	15285.9   	75.000000	15286.6   	75.000000	15285.2   	75.000000	88.9366   	75.000000	43.7027   	75.000000	107.689   	75.000000	101.681   	75.000000	107.766   	
